id,created_at,text,hashtags,media_url
1565062183301570564,2022-08-31 19:41:16+00:00,b'Come on Liverpool @LFC Let\xe2\x80\x99s turn this momentum around \nand make it 27 wins in a row against NewCastle https://t.co/GfELnYm8q2',[],http://pbs.twimg.com/ext_tw_video_thumb/1565062065320038409/pu/img/PkOoNywiwJLRooOV.jpg
1563542612774354944,2022-08-27 15:03:02+00:00,b'RT @LFC: A first @PremierLeague goal for Harvey \xf0\x9f\xa4\xa9 https://t.co/C88VPftTLp',[],http://pbs.twimg.com/media/FbLPug5VUAcIUG0.jpg
1562959084600512513,2022-08-26 00:24:18+00:00,b'a message. https://t.co/XepnOKxYUK',[],http://pbs.twimg.com/media/FbC-_4ZXwAAQLLv.jpg
1562235173843910656,2022-08-24 00:27:45+00:00,b'damn Dana White\xe2\x80\xa6looks like u can\xe2\x80\x99t sell tickets in ur own hometown of Las Vegas for UFC 279? Not only do u hold Nate Diaz hostage. Not only do u put him up against a terrible opponent stylistically. But u create the worst PPV card of the year to honor this man? ESPN even on u\xf0\x9f\xa4\xa3 https://t.co/HTlfOyFeV0',[],http://pbs.twimg.com/media/Fa4snEBXoAAZamo.jpg
1561226565073125377,2022-08-21 05:39:53+00:00,b'\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4\xf0\x9f\x92\xa4 https://t.co/l2TaQXkyXy',[],http://pbs.twimg.com/ext_tw_video_thumb/1561226440577785857/pu/img/u1WJPdDLEX8qEWIe.jpg
1561220014061096961,2022-08-21 05:13:52+00:00,b'Lollloloollol https://t.co/G3hpXy2OSb',[],http://pbs.twimg.com/media/FaqRUtdWQAAa9Df.jpg
1561217284567449601,2022-08-21 05:03:01+00:00,b'\xf0\x9f\x8d\xbf\xf0\x9f\x8d\xbf\xf0\x9f\x8d\xbf https://t.co/wTRs1qPmLA',[],http://pbs.twimg.com/media/FaqO17oXoAAtzuz.jpg
1560075062061027330,2022-08-18 01:24:14+00:00,b'haha https://t.co/blPWiy5Dbs',[],http://pbs.twimg.com/ext_tw_video_thumb/1560075019392270339/pu/img/f4VKhTHfaSHIKuw9.jpg
1559686941007876097,2022-08-16 23:41:58+00:00,b'Dear sports fans. Don\xe2\x80\x99t believe the edited video\xe2\x80\xa6 https://t.co/TVU0JBhHtz',[],http://pbs.twimg.com/ext_tw_video_thumb/1559686827350564866/pu/img/hBQuv_y-ofDiyBbp.jpg
1559203537342660611,2022-08-15 15:41:06+00:00,b'The @betr $50k fantasy football league draft.\n\nWho do you think has the best team? https://t.co/NjgKHmog79',[],http://pbs.twimg.com/media/FaNnU_wXwAEl4_P.jpg
1558901337345196037,2022-08-14 19:40:16+00:00,b'Fear is clear when you don\xe2\x80\x99t look at your opponent in their eyes. Tuchel would KO Conte and I would pay money to see it. \n\n https://t.co/SgSbnUBoxb',[],http://pbs.twimg.com/media/FaI26y9WQAQL3Hy.jpg
1557847815694721024,2022-08-11 21:53:57+00:00,b'Our first ever episode of BS w/ Jake Paul is now live!\n\n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n\nhttps://t.co/7YU0gsDve3\n\n@BSJakePaul @betr https://t.co/xwKVLbgiEP',[],http://pbs.twimg.com/ext_tw_video_thumb/1557847667820068864/pu/img/VKSFsM2H8FNsCzNX.jpg
1557416581361291271,2022-08-10 17:20:23+00:00,b'I woke up like this https://t.co/mPenkhv3ww',[],http://pbs.twimg.com/media/FZ0OIJRWAAYvk2a.jpg
1557040724931235840,2022-08-09 16:26:51+00:00,"b'I\xe2\x80\x99m bored so I\xe2\x80\x99m giving away this brand new Corvette right now! all you have to do to win the Corvette is follow @betr, retweet this post, and then tag 3 friends below in the replies\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xe2\x9a\xa1\xef\xb8\x8f https://t.co/12UbhfVQ0y'",[],http://pbs.twimg.com/media/FZu4SS9WQAIugqD.jpg
1556697779736641536,2022-08-08 17:44:07+00:00,b'RT @betr: WELCOME TO BETR \xe2\x9a\xa1\xef\xb8\x8f https://t.co/fgijAh3QX8',[],http://pbs.twimg.com/amplify_video_thumb/1556665410304499713/img/N-hgu9XSAm9dsLUa.jpg
1556641526612205571,2022-08-08 14:00:35+00:00,b'I turned down $40 Million for this. \n\n@betr https://t.co/r6BGQq7EfJ',[],http://pbs.twimg.com/ext_tw_video_thumb/1556641457225826304/pu/img/hPC1Gmfdm99uKLZ2.jpg
1556104440142249984,2022-08-07 02:26:24+00:00,b'Swarm was 3 hours late to meeting they had. Intense. https://t.co/IukTdoThW3',[],http://pbs.twimg.com/ext_tw_video_thumb/1556103980396191745/pu/img/q31CA2ZqubRNk6Tu.jpg
